id,name,numberPlayer,medianAge,leagueId,url
57,Cagliari,24,27.3,5,https://www.transfermarkt.es/cagliari-calcio/startseite/verein/1390/saison_id/2024
58,Venezia FC,30,26.4,5,https://www.transfermarkt.es/venezia-fc/startseite/verein/607/saison_id/2024
59,US Lecce,34,25.1,5,https://www.transfermarkt.es/us-lecce/startseite/verein/1005/saison_id/2024
60,AC Monza,30,26.8,5,https://www.transfermarkt.es/ac-monza/startseite/verein/2919/saison_id/2024
61,Bayern Múnich,31,26.9,7,https://www.transfermarkt.es/fc-bayern-munchen/startseite/verein/27/saison_id/2024
62,Bayer 04 Leverkusen,25,26.9,7,https://www.transfermarkt.es/bayer-04-leverkusen/startseite/verein/15/saison_id/2024
63,Borussia Dortmund,31,24.8,7,https://www.transfermarkt.es/borussia-dortmund/startseite/verein/16/saison_id/2024
64,RB Leipzig,26,25.3,7,https://www.transfermarkt.es/rasenballsport-leipzig/startseite/verein/23826/saison_id/2024
65,Eintracht Fráncfort,27,25.6,7,https://www.transfermarkt.es/eintracht-frankfurt/startseite/verein/24/saison_id/2024
66,VfB Stuttgart,32,24.7,7,https://www.transfermarkt.es/vfb-stuttgart/startseite/verein/79/saison_id/2024
67,VfL Wolfsburgo,30,25.9,7,https://www.transfermarkt.es/vfl-wolfsburg/startseite/verein/82/saison_id/2024
68,SC Friburgo,27,27.6,7,https://www.transfermarkt.es/sc-freiburg/startseite/verein/60/saison_id/2024
69,1.FSV Mainz 05,24,27.4,7,https://www.transfermarkt.es/1-fsv-mainz-05/startseite/verein/39/saison_id/2024
70,Borussia Mönchengladbach,26,26.0,7,https://www.transfermarkt.es/borussia-monchengladbach/startseite/verein/18/saison_id/2024
71,TSG 1899 Hoffenheim,32,26.4,7,https://www.transfermarkt.es/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2024
72,SV Werder Bremen,27,26.8,7,https://www.transfermarkt.es/sv-werder-bremen/startseite/verein/86/saison_id/2024
73,FC Augsburgo,27,26.5,7,https://www.transfermarkt.es/fc-augsburg/startseite/verein/167/saison_id/2024
74,1.FC Unión Berlín,27,27.8,7,https://www.transfermarkt.es/1-fc-union-berlin/startseite/verein/89/saison_id/2024
75,FC St. Pauli,34,26.8,7,https://www.transfermarkt.es/fc-st-pauli/startseite/verein/35/saison_id/2024
76,1.FC Heidenheim 1846,27,27.3,7,https://www.transfermarkt.es/1-fc-heidenheim-1846/startseite/verein/2036/saison_id/2024
77,VfL Bochum,27,27.5,7,https://www.transfermarkt.es/vfl-bochum/startseite/verein/80/saison_id/2024
78,Holstein Kiel,29,26.5,7,https://www.transfermarkt.es/holstein-kiel/startseite/verein/269/saison_id/2024
79,París Saint-Germain FC,25,23.7,9,https://www.transfermarkt.es/fc-paris-saint-germain/startseite/verein/583/saison_id/2024
80,AS Mónaco,26,24.5,9,https://www.transfermarkt.es/as-monaco/startseite/verein/162/saison_id/2024
81,LOSC Lille,26,27.4,9,https://www.transfermarkt.es/losc-lille/startseite/verein/1082/saison_id/2024
82,Olympique de Marsella,25,27.1,9,https://www.transfermarkt.es/olympique-marseille/startseite/verein/244/saison_id/2024
83,Racing Club de Estrasburgo,24,23.1,9,https://www.transfermarkt.es/rc-strassburg-alsace/startseite/verein/667/saison_id/2024
84,OGC Niza,28,26.2,9,https://www.transfermarkt.es/ogc-nizza/startseite/verein/417/saison_id/2024
85,Stade Rennais FC,30,25.4,9,https://www.transfermarkt.es/fc-stade-rennes/startseite/verein/273/saison_id/2024
86,Olympique de Lyon,22,27.0,9,https://www.transfermarkt.es/olympique-lyon/startseite/verein/1041/saison_id/2024
87,RC Lens,26,27.0,9,https://www.transfermarkt.es/rc-lens/startseite/verein/826/saison_id/2024
88,FC Nantes,26,27.3,9,https://www.transfermarkt.es/fc-nantes/startseite/verein/995/saison_id/2024
89,Toulouse FC,25,25.1,9,https://www.transfermarkt.es/fc-toulouse/startseite/verein/415/saison_id/2024
90,Stade de Reims,25,25.0,9,https://www.transfermarkt.es/stade-reims/startseite/verein/1421/saison_id/2024
91,Stade Brestois 29,26,27.3,9,https://www.transfermarkt.es/stade-brest-29/startseite/verein/3911/saison_id/2024
92,AJ Auxerre,28,25.5,9,https://www.transfermarkt.es/aj-auxerre/startseite/verein/290/saison_id/2024
93,AS Saint-Étienne,27,27.0,9,https://www.transfermarkt.es/as-saint-etienne/startseite/verein/618/saison_id/2024
94,Le Havre AC,27,26.6,9,https://www.transfermarkt.es/ac-le-havre/startseite/verein/738/saison_id/2024
95,Angers SCO,29,26.8,9,https://www.transfermarkt.es/sco-angers/startseite/verein/1420/saison_id/2024
96,Montpellier HSC,27,26.4,9,https://www.transfermarkt.es/montpellier-hsc/startseite/verein/969/saison_id/2024
97,Sporting de Lisboa,25,24.9,11,https://www.transfermarkt.es/sporting-lissabon/startseite/verein/336/saison_id/2024
98,SL Benfica,26,25.5,11,https://www.transfermarkt.es/benfica-lissabon/startseite/verein/294/saison_id/2024
99,FC Oporto,27,25.4,11,https://www.transfermarkt.es/fc-porto/startseite/verein/720/saison_id/2024
100,SC Braga,26,24.9,11,https://www.transfermarkt.es/sc-braga/startseite/verein/1075/saison_id/2024
101,FC Famalicão,27,24.1,11,https://www.transfermarkt.es/fc-famalicao/startseite/verein/3329/saison_id/2024
102,Vitória Guimarães SC,26,26.4,11,https://www.transfermarkt.es/vitoria-guimaraes-sc/startseite/verein/2420/saison_id/2024
103,Rio Ave FC,27,24.2,11,https://www.transfermarkt.es/rio-ave-fc/startseite/verein/2425/saison_id/2024
104,GD Estoril Praia,22,25.6,11,https://www.transfermarkt.es/gd-estoril-praia/startseite/verein/1465/saison_id/2024
105,CD Santa Clara,25,26.1,11,https://www.transfermarkt.es/cd-santa-clara/startseite/verein/2423/saison_id/2024
106,FC Arouca,26,26.2,11,https://www.transfermarkt.es/fc-arouca/startseite/verein/8024/saison_id/2024
107,Gil Vicente FC,27,25.7,11,https://www.transfermarkt.es/gil-vicente-fc/startseite/verein/2424/saison_id/2024
108,Moreirense FC,27,26.3,11,https://www.transfermarkt.es/moreirense-fc/startseite/verein/979/saison_id/2024
109,Casa Pia AC,28,26.5,11,https://www.transfermarkt.es/casa-pia-ac/startseite/verein/3268/saison_id/2024
110,CD Nacional,26,26.9,11,https://www.transfermarkt.es/cd-nacional/startseite/verein/982/saison_id/2024
111,SC Farense,26,28.1,11,https://www.transfermarkt.es/sc-farense/startseite/verein/4294/saison_id/2024
112,Avs Futebol,28,28.7,11,https://www.transfermarkt.es/avs-futebol-sad/startseite/verein/110302/saison_id/2024
113,Boavista FC,34,26.6,11,https://www.transfermarkt.es/boavista-porto-fc/startseite/verein/2503/saison_id/2024
114,CF Estrela Amadora,26,26.8,11,https://www.transfermarkt.es/cf-estrela-amadora-sad/startseite/verein/2431/saison_id/2024
115,PSV Eindhoven,27,26.1,13,https://www.transfermarkt.es/psv-eindhoven/startseite/verein/383/saison_id/2024
116,Feyenoord,33,24.6,13,https://www.transfermarkt.es/feyenoord-rotterdam/startseite/verein/234/saison_id/2024
117,Ajax de Ámsterdam,28,25.5,13,https://www.transfermarkt.es/ajax-amsterdam/startseite/verein/610/saison_id/2024
118,AZ Alkmaar,30,24.1,13,https://www.transfermarkt.es/az-alkmaar/startseite/verein/1090/saison_id/2024
119,FC Twente Enschede,26,25.4,13,https://www.transfermarkt.es/fc-twente-enschede/startseite/verein/317/saison_id/2024
120,FC Utrecht,27,25.4,13,https://www.transfermarkt.es/fc-utrecht/startseite/verein/200/saison_id/2024
121,SC Heerenveen,27,24.9,13,https://www.transfermarkt.es/sc-heerenveen/startseite/verein/306/saison_id/2024
122,Go Ahead Eagles Deventer,25,24.5,13,https://www.transfermarkt.es/go-ahead-eagles-deventer/startseite/verein/1435/saison_id/2024
123,NEC Nijmegen,28,25.6,13,https://www.transfermarkt.es/nec-nijmegen/startseite/verein/467/saison_id/2024
124,Sparta Rotterdam,26,25.1,13,https://www.transfermarkt.es/sparta-rotterdam/startseite/verein/468/saison_id/2024
125,FC Groningen,28,24.7,13,https://www.transfermarkt.es/fc-groningen/startseite/verein/202/saison_id/2024
126,PEC Zwolle,26,25.3,13,https://www.transfermarkt.es/pec-zwolle/startseite/verein/1269/saison_id/2024
127,Fortuna Sittard,27,26.1,13,https://www.transfermarkt.es/fortuna-sittard/startseite/verein/385/saison_id/2024
128,NAC Breda,29,25.3,13,https://www.transfermarkt.es/nac-breda/startseite/verein/132/saison_id/2024
129,Heracles Almelo,30,24.7,13,https://www.transfermarkt.es/heracles-almelo/startseite/verein/1304/saison_id/2024
130,Willem II Tilburg,28,24.6,13,https://www.transfermarkt.es/willem-ii-tilburg/startseite/verein/403/saison_id/2024
131,Almere City FC,28,26.3,13,https://www.transfermarkt.es/almere-city-fc/startseite/verein/723/saison_id/2024
