id,clubId,name,age,bornDate,url
4116,104,Xeka ,30,10/11/1994,https://www.transfermarkt.es/xeka/profil/spieler/290256
4117,104,Jandro Orellana,24,07/08/2000,https://www.transfermarkt.es/jandro-orellana/profil/spieler/388548
4118,104,Michel Costa,23,20/12/2001,https://www.transfermarkt.es/michel-costa/profil/spieler/740087
4119,104,Andrei Florea,20,30/05/2005,https://www.transfermarkt.es/andrei-florea/profil/spieler/925843
4120,104,Fran Pereira,23,06/02/2002,https://www.transfermarkt.es/fran-pereira/profil/spieler/818247
4121,104,João Carvalho,28,09/03/1997,https://www.transfermarkt.es/joao-carvalho/profil/spieler/258005
4122,104,Foe Ondoa,19,12/12/2005,https://www.transfermarkt.es/foe-ondoa/profil/spieler/1143375
4123,104,André Lacximicant,24,19/05/2001,https://www.transfermarkt.es/andre-lacximicant/profil/spieler/752442
4124,104,André Gonçalves,22,16/05/2003,https://www.transfermarkt.es/andre-goncalves/profil/spieler/548993
4125,104,Rafik Guitane,26,26/05/1999,https://www.transfermarkt.es/rafik-guitane/profil/spieler/394328
4126,104,Fabrício Garcia,24,04/05/2001,https://www.transfermarkt.es/fabricio-garcia/profil/spieler/1070645
4127,104,Hélder Costa ,31,12/01/1994,https://www.transfermarkt.es/helder-costa/profil/spieler/173900
4128,104,Yanis Begraoui,23,04/07/2001,https://www.transfermarkt.es/yanis-begraoui/profil/spieler/569376
4129,104,Alejandro Marqués,24,04/08/2000,https://www.transfermarkt.es/alejandro-marques/profil/spieler/525602
4130,104,Israel Salazar,22,10/05/2003,https://www.transfermarkt.es/israel-salazar/profil/spieler/634430
4131,105,Gabriel Batista ,27,03/06/1998,https://www.transfermarkt.es/gabriel-batista/profil/spieler/401535
4132,105,Neneca,21,27/08/2003,https://www.transfermarkt.es/neneca/profil/spieler/983843
4133,105,Denivys,24,01/05/2001,https://www.transfermarkt.es/denivys/profil/spieler/977858
4134,105,Sidney Lima,28,17/01/1997,https://www.transfermarkt.es/sidney-lima/profil/spieler/657155
4135,105,Pedro Pacheco ,28,27/01/1997,https://www.transfermarkt.es/pedro-pacheco/profil/spieler/290508
4136,105,Gui Ramos,27,11/08/1997,https://www.transfermarkt.es/gui-ramos/profil/spieler/340521
4137,105,Alysson,22,26/09/2002,https://www.transfermarkt.es/alysson/profil/spieler/574761
4138,105,Frederico Venâncio,32,04/02/1993,https://www.transfermarkt.es/frederico-venancio/profil/spieler/169681
4139,105,Habraão,24,26/06/2001,https://www.transfermarkt.es/habraao/profil/spieler/965630
4140,105,Luís Rocha,38,13/08/1986,https://www.transfermarkt.es/luis-rocha/profil/spieler/131658
4141,105,Italo Cabelinho,21,27/02/2004,https://www.transfermarkt.es/italo-cabelinho/profil/spieler/950548
4142,105,Henrique Silva,19,17/10/2005,https://www.transfermarkt.es/henrique-silva/profil/spieler/1083239
4143,105,MT,24,01/03/2001,https://www.transfermarkt.es/mttm/profil/spieler/808475
4144,105,Matheus Pereira,24,21/12/2000,https://www.transfermarkt.es/matheus-pereira/profil/spieler/739438
4145,105,Lucas Soares,27,04/05/1998,https://www.transfermarkt.es/lucas-soares/profil/spieler/684061
4146,105,Calila,26,10/10/1998,https://www.transfermarkt.es/calila/profil/spieler/396429
4147,105,Edney,20,26/07/2004,https://www.transfermarkt.es/edney/profil/spieler/1082539
4148,105,Adriano Firmino,25,04/11/1999,https://www.transfermarkt.es/adriano-firmino/profil/spieler/687743
